EmployeeId,firstName,lastName,job,salary,Employee Address,phoneNumber,employee country,employee state,stateName,StoreId,StoreOwner,Store Address,store region,store state
3,Robert,Williams,Janitor,700,3 Baker st.,202-555-0859,US,TX,Holster,3,Andrew,3 Bridge st.,Brooklyn,AZ
13,Charles,Anderson,Manager,2400,3 Elton ave.,202-555-0329,US,MA,Austin,3,Andrew,3 Bridge st.,Brooklyn,AZ
23,Gerald,James,Cashier,1120,1 Clock st.,202-535-2007,US,AL,Boston,3,Andrew,3 Bridge st.,Brooklyn,AZ
33,Noah,Gray,Cashier,1475,1 Break st.,753-534-2007,US,AZ,Brooklyn,3,Andrew,3 Bridge st.,Brooklyn,AZ
42,Teresa,Martinez,Logistics Worker,1300,3 Dust st.,202-551-0996,US,AZ,Brooklyn,3,Andrew,3 Bridge st.,Brooklyn,AZ
52,Sara,Roberts,Supervisor,1470,3 Toll st.,202-455-0996,US,TX,Holster,3,Andrew,3 Bridge st.,Brooklyn,AZ
62,Alexis,Cooper,Logistics Supervisor,1600,3 Class st.,202-955-0996,US,AZ,Brooklyn,3,Andrew,3 Bridge st.,Brooklyn,AZ
72,Adam,Kim,IT,2550,3 Sto st.,202-755-0996,US,MA,Austin,3,Andrew,3 Bridge st.,Brooklyn,AZ
82,Debra,Reed,Accounter,1680,3 Lap st.,202-155-0996,US,MA,Austin,3,Andrew,3 Bridge st.,Brooklyn,AZ
92,Sara,Martinez,Financer,2100,3 Trel st.,203-555-0996,US,MA,Austin,3,Andrew,3 Bridge st.,Brooklyn,AZ
102,Nicole,King,Advertiser,1765,3 Plos st.,208-555-0996,US,AL,Boston,3,Andrew,3 Bridge st.,Brooklyn,AZ
112,Abigail,Cooper,Sales Representative,1270,3 Pro st.,399-595-0996,US,TX,Holster,3,Andrew,3 Bridge st.,Brooklyn,AZ
122,Alexis,Evans,HR,1100,3 Daf st.,395-595-1996,US,MA,Austin,3,Andrew,3 Bridge st.,Brooklyn,AZ
7,David,Miller,Janitor,1100,7 Baker st.,202-555-0365,US,AL,Boston,7,Donna,7 Bridge st.,Holster,TX
17,Daniel,Moore,Manager,2450,7 Elton ave.,202-555-0836,US,AZ,Brooklyn,7,Donna,7 Bridge st.,Holster,TX
27,Martha,Carter,Cashier,1400,5 Clock st.,202-535-2008,US,AZ,Brooklyn,7,Donna,7 Bridge st.,Holster,TX
37,Janice,Martinez,Cashier,1200,5 Break st.,292-995-2909,US,MA,Austin,7,Donna,7 Bridge st.,Holster,TX
46,Charlotte,Morgan,Logistics Worker,1270,4 Place st.,202-515-1008,US,AL,Boston,7,Donna,7 Bridge st.,Holster,TX
56,Billy,Turner,Supervisor,1670,4 Prep st.,202-455-1008,US,AZ,Brooklyn,7,Donna,7 Bridge st.,Holster,TX
66,Jacqueline,Scott,Logistics Supervisor,1600,4 Table st.,202-955-1008,US,MA,Austin,7,Donna,7 Bridge st.,Holster,TX
76,Joe,Long,IT,2250,4 Apl st.,202-755-1008,US,MA,Austin,7,Donna,7 Bridge st.,Holster,TX
